,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Tuatapere,44,NZ,1554072006,68,-46.13,167.69,285.93,2.24
1,Hilo,90,US,1554072512,69,19.71,-155.08,299.26,2.6
2,Lodwar,8,KE,1554072544,60,3.12,35.6,297.715,0.92
3,Mataura,24,NZ,1554072006,68,-46.19,168.86,285.93,2.24
4,Flinders,90,AU,1554072436,100,-34.58,150.85,293.15,5.1
5,Rikitea,24,PF,1554072544,100,-23.12,-134.97,298.015,8.27
6,Tongzi,92,CN,1554072545,97,28.78,105.09,287.265,1.52
7,Berlevag,64,NO,1554072545,100,70.86,29.09,272.315,11.27
8,Misratah,92,LY,1554072545,86,32.38,15.09,287.165,6.17
9,Butaritari,36,KI,1554072545,100,3.07,172.79,300.665,5.92
10,Plettenberg Bay,76,ZA,1554072546,100,-34.05,23.37,291.615,13.22
11,Jamestown,20,AU,1554072262,80,-33.21,138.6,287.315,1.92
12,Mtimbira,56,TZ,1554072546,94,-8.78,36.35,291.865,0.67
13,Bluff,0,AU,1554072546,50,-23.58,149.07,294.265,4.07
14,Namatanai,64,PG,1554072546,100,-3.66,152.44,300.965,6.02
15,Chuy,24,UY,1554072546,93,-33.69,-53.46,292.365,3.07
16,Leh,32,IN,1554072547,83,34.16,77.58,253.365,0.77
17,Hofn,36,IS,1554072547,99,64.25,-15.21,278.015,8.97
18,Ilulissat,56,GL,1554069000,72,69.22,-51.1,263.15,4.1
19,Punta Arenas,75,CL,1554072146,62,-53.16,-70.91,286.15,7.7
20,Busselton,80,AU,1554072380,48,-33.64,115.35,294.26,5.37
21,Albany,75,US,1554072304,56,42.65,-73.75,278.71,11.8
22,Luganville,24,VU,1554072548,97,-15.51,167.18,302.015,3.57
23,Griffith,24,AU,1554069600,77,-34.29,146.06,288.15,3.1
24,Nagato,75,JP,1554071672,45,34.35,131.14,281.15,7.7
25,Port Alfred,88,ZA,1554072548,100,-33.59,26.89,293.115,6.27
26,Atuona,32,PF,1554072549,100,-9.8,-139.03,300.815,4.82
27,New Norfolk,75,AU,1554072523,66,-42.78,147.06,288.15,4.6
28,Kapaa,40,US,1554072503,88,22.08,-159.32,300.93,5.1
29,Mount Gambier,90,AU,1554069600,93,-37.83,140.78,285.15,2.1
30,Alboraya,75,ES,1554072545,87,39.5,-0.35,286.48,3.6
31,Port Elizabeth,1,US,1554072541,37,39.31,-74.98,285.15,9.3
32,Vaini,0,IN,1554072550,90,15.34,74.49,291.665,0.47
33,Barrow,80,AR,1554072550,43,-38.31,-60.23,296.015,3.67
34,Airai,0,TL,1554072550,62,-8.93,125.41,297.915,0.57
35,Kaitangata,0,NZ,1554072477,49,-46.28,169.85,290.37,7.6
36,Honiara,76,SB,1554072551,84,-9.43,159.96,300.815,1.17
37,Vao,56,EE,1554072436,88,59.1,26.19,272.565,4.47
38,Codrington,24,AU,1554072505,82,-28.95,153.24,292.04,2.6
39,Lavrentiya,32,RU,1554072473,100,65.58,-170.99,271.115,2.22
40,Puerto Ayora,20,EC,1554071426,70,-0.74,-90.35,302.15,7.2
41,Fort Nelson,20,CA,1554069600,31,58.81,-122.69,282.15,5.1
42,North Bend,75,US,1554072308,82,43.41,-124.22,289.26,5.1
43,Cidreira,32,BR,1554072552,95,-30.17,-50.22,294.165,0.62
44,Castro,90,CL,1554069600,87,-42.48,-73.76,287.15,3.1
45,Sorland,68,NO,1554072553,100,67.67,12.69,276.615,11.12
46,Ushuaia,75,AR,1554069600,71,-54.81,-68.31,284.15,4.1
47,Itarema,92,BR,1554072553,94,-2.92,-39.92,299.265,1.97
48,Arman,32,RU,1554072553,71,59.7,150.17,268.665,4.62
49,Morro Bay,1,US,1554072527,31,35.37,-120.85,299.26,4.6
50,Kalianget,20,ID,1554069600,88,-7.35,109.91,298.15,1.5
51,Constitucion,40,MX,1554072017,11,23.99,-104.67,299.26,1.0
52,Upernavik,56,GL,1554072554,100,72.79,-56.15,261.215,1.17
53,Magugu,92,TZ,1554072554,99,-4.02,35.77,290.915,1.32
54,Chapais,20,CA,1554069600,57,49.78,-74.86,268.15,6.7
55,Hobart,75,AU,1554072255,66,-42.88,147.33,287.04,4.6
56,Vostok,80,RU,1554072555,76,46.45,135.83,269.865,1.32
57,Weligama,0,LK,1554072555,100,5.97,80.42,298.065,2.12
58,Rebrikha,0,RU,1554072555,95,53.08,82.34,273.365,3.27
59,Jiwani,0,PK,1554072555,86,25.05,61.74,294.765,2.92
60,Lebu,32,ET,1554072555,91,8.96,38.73,282.915,1.77
61,Qaanaaq,44,GL,1554072556,85,77.48,-69.36,253.415,1.97
62,Kuching,75,MY,1554069600,94,1.56,110.34,297.15,1.0
63,Beloha,0,MG,1554072556,84,-25.17,45.06,289.865,1.52
64,Tahe,0,CN,1554072556,57,52.34,124.71,267.615,2.47
65,Ribeira Grande,68,PT,1554072556,100,38.52,-28.7,288.315,11.12
66,Yellowknife,90,CA,1554072460,69,62.45,-114.38,275.37,9.3
67,Moose Factory,1,CA,1554069600,38,51.26,-80.61,268.15,4.1
68,Hirara,75,JP,1554069600,72,24.8,125.28,292.15,5.7
69,Severo-Kurilsk,68,RU,1554072557,99,50.68,156.12,271.865,1.32
70,Saint-Philippe,90,CA,1554072534,80,45.36,-73.48,275.15,2.1
71,Haines Junction,0,CA,1554072557,46,60.75,-137.51,278.465,1.17
72,Mpongwe,0,ZM,1554072558,65,-13.51,28.16,290.015,2.87
73,Grand-Bourg,40,GP,1554069600,65,15.88,-61.31,301.15,2.6
74,Hermanus,88,ZA,1554072304,85,-34.42,19.24,287.59,1.34
75,Saint Anthony,20,US,1554072398,29,43.97,-111.68,285.37,5.1
76,Ishim,0,RU,1554072558,89,56.11,69.47,270.965,4.97
77,Klaksvik,68,FO,1554070800,81,62.23,-6.59,279.15,4.6
78,Nuevo Casas Grandes,0,MX,1554072559,24,30.42,-107.91,294.265,4.57
79,Merauke,92,ID,1554072559,100,-8.49,140.4,299.115,3.92
80,La Ronge,20,CA,1554069600,47,55.1,-105.3,274.15,6.7
81,Srednekolymsk,0,RU,1554072559,77,67.46,153.71,264.515,1.42
82,Norman Wells,90,CA,1554069600,93,65.28,-126.83,275.15,7.7
83,Georgetown,40,GY,1554069600,74,6.8,-58.16,302.15,5.1
84,Sinnamary,20,GF,1554072560,93,5.38,-52.96,300.165,4.22
85,Sao Joao da Barra,0,BR,1554069600,73,-21.64,-41.05,298.15,3.6
86,Marawi,0,PH,1554072366,78,8.0,124.29,294.82,3.58
87,Victoria,75,BN,1554069600,74,5.28,115.24,300.15,2.6
88,Shelton,1,US,1554072544,34,47.22,-123.1,293.15,2.6
89,Amurzet,12,CN,1554072562,62,47.69,131.09,272.915,2.47
90,Lagoa,0,PT,1554072444,87,37.14,-8.45,289.15,2.6
91,Winnemucca,1,US,1554072311,22,40.97,-117.74,287.59,1.42
92,Kruisfontein,12,ZA,1554072298,85,-34.0,24.73,289.215,8.12
93,Suntar,20,RU,1554072563,74,62.16,117.65,267.815,1.52
94,Olinda,40,EC,1554072342,62,-2.03,-79.75,304.15,2.6
95,Avarua,12,CK,1554071400,94,-21.21,-159.78,299.15,3.1
96,Kodiak,1,US,1554072490,16,39.95,-94.76,281.48,3.6
97,Santa Isabel do Rio Negro,8,BR,1554072563,80,-0.41,-65.02,301.065,2.52
98,Kohima,64,IN,1554072564,94,25.66,94.1,288.015,0.77
99,Adrar,0,DZ,1554069600,34,27.87,-0.29,293.15,4.6
